publisher,average_rating
Walter Farley,4.12
Walter Foster Creative Team,1.0
Walter Isaacson,4.04
Walter J. Savitch,3.84
Walter Kaufmann,4.08
Walter Kirn,3.15
Walter Rodney,4.27
Walter Scott,3.685
Wanda Sykes,3.71
Wang Wei,4.3
Waris Dirie,3.88
Warren Ellis,4.253333333333333
Warren G. Bennis,0.0
Warren Murphy,4.11
Warren W. Wiersbe,4.37
Watchman Nee,4.42
Wayne G. Hammond,4.316666666666666
Wayne W. Dyer,4.145
Weldon Thornton,4.04
Welles Hartley,3.79
Wendy  Mitchell,3.75
Wendy Cooling,4.08
Wendy Markham,3.68
Wendy Wasserstein,3.795
Wesley Martin,3.86
Western Sonoma County Historical Society,4.4
Wilbur Smith,4.1525
Wilfred Owen,4.34
Wilkie Collins,3.9291666666666667
Will Durant,4.12
Will Eisner,4.0840000000000005
Will Ferguson,3.8366666666666664
Will Kymlicka,4.0
Willa Cather,3.79
William    Jones,3.63
William   Anderson,4.22
William  James,4.242
William A. Cohen,4.08
William Allan,4.04
William Andrewes,4.5
William Arrow,3.165
William Beebe,3.84
William Blake,4.24
William C. Carter,4.33
William C. Davis,3.5
William C. Dowling,5.0
William Camann,3.45
William Cronon,4.16
William Easterly,3.83
William Empson,3.85
William F. Russell,4.12
William Faulkner,3.99125
William Gaddis,3.81
William Gibson,3.8885714285714283
William Golding,3.5780000000000003
William Goldman,3.8927272727272726
William H. Keith Jr.,3.89
William H. Press,4.16
William Hjortsberg,3.92
William Holdsworth,4.0
William Hubben,3.57
William Irwin,3.626666666666667
William J. Bennett,4.215
William Jefferies,3.545
William Kalush,3.87
William L. Shirer,4.245
William L. Simon,4.38
William M. Bass,4.19
William Makepeace Thackeray,3.7900000000000005
William Manchester,4.2225
William Martin,3.91
William McDonough,4.11
William Morris,3.9333333333333336
William Murray,3.5
William Poundstone,3.91
William Rodney Allen,3.9349999999999996
William S. Burroughs,3.7063636363636365
William S. Pollack,3.83
William Saroyan,4.18
William Shakespeare,3.9306818181818177
William Sleator,3.703076923076923
William Stacy Johnson,4.21
William Strunk Jr.,4.19
William Styron,3.9
William T. Quick,3.27
William T. Rasmussen,3.39
William T. Vetterling,3.5
William T. Vollmann,3.905
William W. Johnstone,3.85
William Westney,4.24
Willie Dixon,4.02
Wilma Davidson,3.45
Wilson Rawls,4.2
Winston S. Churchill,4.42
Wisława Szymborska,4.3740000000000006
Witold Gombrowicz,3.9875
Wole Soyinka,3.85
Wolfgang Amadeus Mozart,3.94
Woody Hochswender,4.28
Xavier de C.,4.67
Xenophon,4.0
Yann Martel,3.6825
Yasuhiro Kano,3.83
Yasunari Kawabata,3.762857142857143
Yayoi Ogawa,4.3100000000000005
Yefim Gordon,3.0
Yehuda Koren,3.92
Yochai Benkler,3.97
Yohanan Aharoni,4.32
Yona Zeldis McDonough,4.18
Yosef A.A. Ben-Jochannan,4.535
Yoshitaka Amano,4.3149999999999995
Youka Nitta,4.343333333333334
Yu Aida,3.87
Yuki Shimizu,4.205
Yukito Kishiro,4.093333333333333
Yumi Hotta,4.221875
Yunus A. Cengel,4.15
Yvon Chouinard,4.22
Yvonne Tasker,4.27
Yōko Kamio,4.116666666666667
Z.Z. Packer,3.84
Zadie Smith,3.518888888888889
Zak Smith,4.1
Zecharia Sitchin,4.08
Zilpha Keatley Snyder,3.9425
Zolar,3.68
Zora Neale Hurston,4.051428571428572
Zoë Heller,3.71
bell hooks,4.2299999999999995
Åsne Seierstad,3.763333333333333
Émile Zola,3.9711111111111115
Éric-Emmanuel Schmitt,3.82
