publisher,average_rating
Dave Lakhani,3.34
Dave Land,3.89
Dave Luckett,3.86
Dave Pelzer,4.1
Dave R. Palmer,4.27
Dave Robinson,3.56
Dave Shea,3.98
Dave Thomas,3.935
David        James,4.08
David      West,3.99
David     Payne,3.25
David    Allen,3.92
David   Robbins,4.38
David   Ward,2.18
David  Allen,4.0
David  Michaels,3.936666666666666
David  Roberts,3.71
David A. Adler,3.965
David A. Black,3.77
David A. Nadler,4.62
David A. Stewart,3.75
David A. Ufer,3.87
David Allen Sibley,4.69
David Almond,3.705
David Axton,3.76
David B.,3.88
David Baggett,4.48
David Baldacci,4.01
David Bjerklie,3.97
David Bodanis,4.109999999999999
David Bowie,4.3
David Brin,3.9
David Bromberg,3.86
David Burnie,4.22
David Cairns,4.27
David Colbert,4.08
David Cote,4.18
David D. Burns,3.98
David Dalton,4.07
David Day,4.13
David Deida,3.99
David Donovan,4.27
David E. Kaiser,3.51
David Eddings,4.1375
David Edmonds,3.76
David Ellis,3.81
David Filkin,4.29
David Foster Wallace,4.132
David G. Hartwell,4.1075
David Gemmell,4.346666666666667
David Gerrold,3.79
David Goodis,3.7675
David Grene,4.29
David Guterson,3.83
David H. Chilton,4.1
David Hackett Fischer,4.05
David Haynes,4.0
David Hewson,3.57
David Horowitz,4.2
David J. Chalmers,4.08
David J. Danelo,3.91
David J. Hassel,4.0
David James Duncan,4.24
David K. Shipler,4.03
David L. Holmes,3.89
David L. Hull,3.89
David L. Robbins,4.11
David Lazar,3.95
David Levithan,3.67375
David Lindsay-Abaire,3.995
David Lubar,3.9
David M. Buss,4.08
David Malouf,3.88
David Mamet,3.9050000000000002
David McCasland,4.45
David McClung,4.07
David McCullough,4.09
David Mitchell,4.035
David Morrell,3.85
David Nasaw,3.99
David Neiwert,4.0
David Noonan,3.7
David Ogilvy,4.16
David Pogue,3.52
David Poyer,4.09
David R. George III,3.9299999999999997
David R. Hawkins,4.425
David Rakoff,3.72
David S. Garnett,3.57
David S. Reynolds,4.17
David Salo,3.73
David Schickler,3.61
David Sedaris,3.9199999999999995
David Simon,4.404999999999999
David Stanley,2.75
David Thomas Lord,3.35
David W. Macdonald,3.33
David W. Mount,3.86
David W. Phillips,3.57
David Weber,4.085
David Weisman,4.22
David Wellington,3.6
David Wiesner,4.21
David Wojnarowicz,4.04
David Wood,4.09
David Zane Mairowitz,3.8
Davina Thomas,4.09
Dawn B. Sova,4.33
Dean Koontz,3.9603571428571427
Dean R. Koontz,3.9
Deb Stover,3.31
Debbie Dadey,3.8
Debbie Raleigh,3.665
Deborah  Gordon,4.25
Deborah Blum,3.7
Deborah Bray Haddock,4.16
Deborah Eisenberg,4.0
Deborah Gregory,3.64
Deborah Hopkinson,4.05
Deborah Spungen,4.1
Deborah Woodworth,3.52
Debra Cowan,3.86
Debra Hess,3.9659999999999997
Debra Marquart,3.77
Deidre S. Laiken,4.05
Deirdre Bair,3.99
Delia Sherman,3.5375
Deloris Jordan,4.065
Denis Diderot,3.7375
Denis Johnson,3.8160000000000003
Denis Waitley,4.21
Denise Dersin,3.885
Denise Little,4.06
Denise Riley,3.64
Dennis Adler,5.0
Dennis Brindell Fradin,4.07
Dennis L. Kasper,4.35
Dennis Lehane,3.978333333333333
Dennis Slifer,3.69
Denny Caringer,3.83
Dermot Moran,4.18
Desmond Morris,3.95
Detlev J.K. Peukert,3.84
Devin McKinney,3.88
Devon W. Carbado,4.33
Devra Davis,4.02
Diablo Cody,3.54
Diana Butler Bass,4.0
Diana Cooper,4.0
Diana Gabaldon,4.203636363636364
Diana Kendall,3.21
Diana Palmer,3.965
Diana Vreeland,3.67
Diana Wynne Jones,4.003333333333333
Diane  Kennedy,4.15
Diane Duane,4.043333333333333
Diane Haeger,3.7
Diane Johnson,3.25
Diane Mott Davidson,3.86
Diane Setterfield,3.96
Diane Waldman,4.04
Dick Francis,3.9562068965517243
Dinah L. Moché,3.89
Dinesh D'Souza,4.13
Dixie Cash,3.8449999999999998
Dobrica Erić,0.0
Dodie Smith,4.0
Don    Wood,4.32
Don  Lee,3.47
Don Colbert,3.84
Don DeLillo,3.593888888888889
Don Ihde,3.73
Don Macmillan,4.75
Don Rosa,4.343333333333334
Don Webb,4.37
Donald  Lloyd,3.54
Donald A. Mackenzie,3.52
Donald A. Norman,4.096666666666667
Donald Barthelme,4.2
Donald D. Stull,3.46
Donald Goines,4.26
Donald H. Wolfe,3.84
Donald J. Crump,3.71
Donald J. Sobol,4.04
Donald J. Trump,3.66
Donald Kagan,4.01
Donald Miller,3.9133333333333336
Donald Spoto,3.9525
Donald T. Phillips,4.14
Donald Zochert,4.12
Donna Dale Carnegie,3.96
Donna Freitas,3.63
Donna Goldberg,3.82
Donna Hill,4.46
Donna Ickes,4.0
Donna Leon,3.79
Donna M. Jackson,3.91
Donna Tartt,3.6733333333333333
Donna VanLiere,4.23
Donna Woolfolk Cross,4.08
Doreen Cronin,4.196666666666666
Doris Kearns Goodwin,4.23
Doris Kloster,3.96
Doris Lessing,3.76
Dorothea Shefer-Vanson,4.32
Dorothy Corkille Briggs,4.27
Dorothy Dunnett,4.42
Dorothy L. Sayers,3.89
Dorothy Parker,4.27
Dorothy Roberts,4.19
Doug Lansky,3.38
Doug McClelland,3.92
Doug Stanton,4.29
Doug Walsh,0.0
Douglas A. Anderson,3.93
Douglas Adams,4.204210526315789
Douglas C. Giancoli,4.01
Douglas Clegg,3.573333333333333
Douglas Coupland,3.786363636363636
Douglas Downing,4.06
Douglas E. Winter,3.89
Douglas M. MacDowell,4.07
Douglas Preston,4.042222222222222
Douglas R. Hofstadter,4.215
Dow Mossman,3.15
Doyle Brunson,3.94
Dr. Seuss,4.14
Drew Carey,3.53
Dugald A. Steer,3.965
Dwight D. Eisenhower,4.08
Dyan Sheldon,3.7750000000000004
Dōgen,4.28
E. Nesbit,3.905
E.B. Potter,4.16
E.B. White,4.17
E.E. Cummings,4.316666666666666
E.J. Wagner,4.22
E.L. Doctorow,3.848
E.L. Konigsburg,3.6799999999999997
E.M. Forster,3.9036363636363633
E.R. Eddison,3.65
E.V. Gordon,4.1
Eamon Duffy,3.69
East Bay M. U. D. Staff,4.3
Eckhart Tolle,4.13
Ed  Young,4.0
Ed Dorn,4.11
Ed Gorman,3.925
Ed McBain,3.8425
Ed Roberson,4.13
Edgar Allan Poe,4.286363636363636
Edgar Rice Burroughs,3.82
Edith Hamilton,4.03
Edith Wharton,4.002666666666666
Edmond Rostand,4.06
Edmund Burke,3.76
Edmund Morris,4.210000000000001
Edmund S. Morgan,3.7925
Edmund Spenser,3.675
Eduardo Galeano,4.3
Edward Albee,4.08
Edward Bulwer-Lytton,3.6
Edward C. Klatt,4.33
Edward Copeland,4.09
