Corgi Childrens,250-499,2
Cornell University Press,250-499,1
Cornell University Press,<250,1
Cornerstone Press Chicago,250-499,1
Coronet,250-499,1
Coronet,<250,1
Coronet Books (GB),500-749,2
Cosimo Classics,250-499,1
Cosmos Books (OH),<250,1
Council Oak Books,<250,1
Council Press,250-499,1
Counterpoint,250-499,1
Counterpoint,<250,3
Counterpoint LLC,250-499,3
Counterpoint LLC,<250,1
Countryman Press,500-749,1
Courage Books,<250,1
Course Technology,500-749,2
Course Technology,750-999,1
Creation Books,<250,2
Crescent,250-499,1
Critica (Grijalbo Mondadori),<250,1
Crossing Press,<250,1
Crossroad,<250,2
Crossroad Publishing Company,<250,1
Crossway Books,250-499,6
Crossway Books,<250,4
Crown,250-499,3
Crown,<250,4
Crown Business,250-499,1
Crown Forum,250-499,1
Crown Journeys/Crown Publishers/Crown Publishing Group/Random House,<250,1
Crown Publishers,<250,1
Crown Publishing Group,250-499,1
Crown Publishing Group (NY),250-499,3
Crown Publishing Group (NY),<250,1
Cruithne Press,<250,1
Crystal Clarity Publishers,<250,2
Cumberland House Publishing,250-499,1
Cumberland House Publishing,<250,1
Cybereditions Corp,<250,1
Cátedra,<250,1
Círculo de Lectores,250-499,1
DAW,250-499,30
DAW,500-749,6
DAW,750-999,2
DAW,<250,2
DAW,>=1000,1
DAW Books,250-499,1
DAW Books,750-999,1
DAW Books,<250,2
DAW Books (NY),<250,1
DAW Books Inc,250-499,4
DAW Books Inc,<250,1
DAW Fantasy,750-999,1
DAW Hardcover,500-749,1
DAW SF,<250,1
DC Comics,250-499,3
DC Comics,<250,28
DC Comics Vertigo,250-499,1
DC Comics Vertigo,<250,2
DEBOLS!LLO,250-499,1
DK,250-499,1
DK,500-749,1
DK Children,250-499,1
DK Children,<250,9
DK Publishing,250-499,1
DK Publishing,<250,1
DK Publishing (Dorling Kindersley),250-499,1
DK Publishing (Dorling Kindersley),500-749,1
DK Publishing (Dorling Kindersley),<250,5
Da Capo Press,250-499,10
Da Capo Press,500-749,6
Da Capo Press,<250,4
Da Capo Press,>=1000,1
Dabel Brothers Productions,250-499,1
Dabel Brothers Publishing,<250,2
Dafina Books,250-499,1
Daimon Verlag,<250,1
Dalkey Archive Press,250-499,3
Dalkey Archive Press,750-999,1
Dalkey Archive Press,<250,4
Dante University of America Press,<250,1
Dark Horse,<250,5
Dark Horse Books,250-499,1
Dark Horse Books,<250,17
Dark Horse Comics,250-499,3
Dark Horse Comics,<250,4
Dark Horse Manga,250-499,3
Dark Horse Manga,<250,7
Dartmouth College Press,500-749,1
Darton  Longman & Todd,<250,1
David C Cook,250-499,1
David C. Cook,<250,1
David R. Godine,<250,2
David R. Godine Publisher,250-499,1
David R. Godine Publisher,500-749,1
David R. Godine Publisher,<250,4
Daw Books,250-499,8
Daw Books,500-749,4
Daw Books,750-999,1
De Boekerij,500-749,1
DeBolsillo,250-499,2
DeBolsillo,500-749,3
DeBolsillo,750-999,2
DeVorss & Company,<250,1
Deadite Press (Eraserhead Press),250-499,1
Debolsillo,250-499,12
Debolsillo,500-749,2
Debolsillo,750-999,1
Debolsillo,<250,3
Dedalus,250-499,1
Dedalus Limited,250-499,1
Del Rey,250-499,39
Del Rey,500-749,4
Del Rey,750-999,3
Del Rey,<250,32
Del Rey,>=1000,2
Del Rey Ballantine Random House,250-499,1
Del Rey Books,250-499,24
Del Rey Books,500-749,2
Del Rey Books,750-999,2
Del Rey Books,<250,4
Del Rey Books,>=1000,1
Del Rey Books (NY),250-499,1
Del Rey Fantasy,250-499,2
Del Rey/Ballantine Books,250-499,1
Delacorte Books,250-499,1
Delacorte Books for Young Readers,250-499,2
Delacorte Books for Young Readers,500-749,1
Delacorte Books for Young Readers,<250,2
Delacorte Press,250-499,9
Delacorte Press,500-749,2
Delacorte Press,<250,7
Delcourt,<250,3
Dell,250-499,16
Dell,500-749,3
Dell,<250,4
Dell,>=1000,2
Dell Laurel-Leaf,250-499,1
Dell Publishing,250-499,1
Dell Publishing Company,250-499,10
Dell Publishing Company,500-749,1
Dell Publishing Company,750-999,1
Dell Publishing Company,<250,1
Dell Yearling,<250,1
Delmar Thomson Learning,250-499,1
Delta,250-499,20
Delta,500-749,3
Delta,750-999,5
Delta,<250,2
Delta Publishing,250-499,1
Denoël,250-499,3
Denoël,750-999,2
Deodand,<250,1
Deodand Publishing,<250,1
Dervy,<250,1
Deseret Book Company,<250,1
Destino Ediciones,<250,1
Destiny Books,<250,1
Destiny Image Incorporated,250-499,1
Deutscher Taschenbuch Verlag,500-749,1
Deutscher Taschenbuch Verlag,<250,1
Devil's Due Publishing,250-499,1
Dey Street Books,250-499,3
Dey Street Books,<250,1
Dhv der Hörverlag,<250,1
Dial,<250,3
Dial Books,250-499,1
Dial Books,<250,1
Dial Press,250-499,10
Dial Press,500-749,2
Dial Press,>=1000,1
Dial Press Trade Paperback,250-499,8
Dial Press Trade Paperback,500-749,2
Dial Press Trade Paperback,750-999,1
Dial Press Trade Paperback,>=1000,1
Diamond/Charter,250-499,1
Diana TB,250-499,1
Digireads.com,<250,6
Digital Manga Publishing,250-499,1
Digital Manga Publishing,<250,9
Digital Manga Publishing / Dark Horse,<250,5
Diogenes,250-499,1
Diogenes Verlag,500-749,1
Disinformation Books,<250,1
Disinformation Company,250-499,2
Disney Editions,<250,1
Disney Enterprises,<250,1
Disney Hyperion Books,250-499,2
Disney Press,<250,14
Disney-Hyperion,250-499,6
Disney-Hyperion,<250,3
Distribooks,250-499,1
Do-Not Press,250-499,1
Dodd Mead; 1st edition (September 1976),<250,1
Dodo Press,500-749,1
Dodo Press,<250,2
Doherty  Tom Associates  LLC,250-499,1
Dominion Press,750-999,1
Dorling Kindersley Children,<250,1
Doubleday,250-499,7
Doubleday,500-749,3
Doubleday,<250,2
Doubleday & Company  Inc.,750-999,1
Doubleday Books,250-499,8
Doubleday Books,500-749,2
Doubleday Books,<250,7
Doubleday Books for Young Readers,<250,2
Doubleday Canada,<250,1
Doubleday Publishing (NY),500-749,1
Douglas  McIntyre,<250,2
Douglas & McIntyre,<250,2
Dover Publications,250-499,27
Dover Publications,500-749,5
Dover Publications,750-999,1
Dover Publications,<250,52
Dover Publications  Inc.,<250,2
Dover Publications (NY),250-499,1
Dover Publications (NYC),250-499,1
Downtown Press,250-499,1
Downtown Press,500-749,1
Dr. Master Productions Inc.,<250,1
Dragon Door Publications,<250,1
Dragonfly Books,<250,1
Dramatists Play Service,<250,7
Dramatists Play Service  Inc.,<250,1
Drawn and Quarterly,<250,2
Droemer Knaur,250-499,1
Dtv,250-499,1
Duke University Press Books,250-499,2
Duke University Press Books,<250,2
Dundurn,250-499,2
Dutton,250-499,2
Dutton,500-749,2
Dutton,750-999,1
Dutton,>=1000,1
Dutton Adult,<250,1
Dutton Books,250-499,3
Dutton Books,<250,2
Dutton Books for Young Readers,<250,2
Dutton Children's Books,750-999,1
Dutton Children's Books,<250,1
Dutton Juvenile,250-499,1
Dutton Juvenile,<250,1
ECW Press,250-499,1
EMC/Paradigm Publishing,250-499,1
EOS,250-499,1
Earthlight,250-499,2
East Bay Municipal Utility District,250-499,1
Ebury Press,250-499,3
Ebury Press,<250,1
Ecco,250-499,12
Ecco,500-749,1
Ecco,750-999,1
Ecco,<250,5
Ecco / HarperCollins,250-499,1
Ecco Press,250-499,3
Ecco/Harper Perennial,250-499,1
Edaf S.A.,750-999,1
Edebé,250-499,1
Ediciones B,250-499,8
Ediciones B,500-749,1
Ediciones Glénat España,<250,1
Ediciones Urano,250-499,1
Edicións Xerais de Galicia  S.A.,500-749,1
Edimat Libros,250-499,2
Edimat Libros,<250,2
Editions 10/18,250-499,2
Editions Gallimard,<250,1
Editions de l'Olivier,<250,1
Editions du Rocher,250-499,1
Editions du Rocher,<250,1
Editorial Diana,<250,1
Editorial Juventud,<250,1
Editorial Presença,<250,6
Editorial RM,<250,1
Edwin Mellen Press,<250,1
Eerdmans,<250,1
Egmont Books Ltd,250-499,1
Egmont Children's Books,<250,1
El Paso Norte Press,250-499,2
Element,250-499,1
Ellora's Cave,250-499,2
Ellora's Cave,<250,1
Elloras Cave,250-499,1
Ember,250-499,2
Ember,<250,3
Emece Editores,750-999,1
Emecé Editores,250-499,1
Emecé Editores,500-749,1
Eminent Lives,250-499,1
Eminent Lives,<250,1
Encounter Books,250-499,1
Enitharmon Press,<250,1
Eos,250-499,5
Eraserhead Press,<250,1
Eros Comix,<250,1
Europa Editions,250-499,2
Europa Editions,<250,1
Evans Brothers,<250,1
Everyman,250-499,4
Everyman,500-749,2
Everyman,750-999,1
Everyman,<250,1
Everyman Chess,250-499,1
Everyman Chess,>=1000,1
Everyman Library / Overlook Press,<250,1
Everyman Paperback Classics,250-499,1
Everyman Paperbacks,500-749,1
Everyman's Library,250-499,12
Everyman's Library,500-749,7
Everyman's Library,750-999,5
Everyman's Library,<250,6
Everyman's Library,>=1000,9
